1000 1310
1 476 15
1 112 19
2 460 47
2 258 66
3 116 33
3 254 33
4 350 27
4 456 19
5 64 38
5 93 50
5 143 33
6 155 46
6 210 33
7 123 67
7 386 27
8 304 55
8 262 51
9 491 14
9 478 15
9 229 56
10 99 25
10 442 39
11 45 46
11 107 66
12 139 16
12 392 46
13 70 41
13 89 22
14 189 35
14 479 53
14 477 13
15 194 50
15 470 29
16 298 65
16 366 25
17 320 50
17 393 55
18 377 39
18 204 32
19 92 60
19 378 13
19 367 62
20 136 12
20 450 65
21 461 20
21 284 29
22 176 49
22 203 67
23 108 13
23 215 53
23 281 61
23 124 56
24 207 11
24 227 28
25 177 40
25 488 43
26 390 45
26 256 30
27 97 24
27 451 69
28 54 66
28 460 39
29 466 63
29 64 55
30 149 23
30 214 32
31 399 27
31 315 49
32 349 52
32 477 26
33 83 40
33 162 36
33 349 38
34 421 62
34 163 46
35 365 37
35 132 33
36 170 68
36 418 41
36 134 34
37 437 63
37 66 43
38 310 47
38 335 28
39 275 30
39 395 38
40 163 44
40 391 41
41 217 36
41 216 12
42 114 60
42 370 62
43 347 59
43 86 30
44 268 41
44 140 41
44 47 17
45 382 39
46 104 69
46 49 29
47 125 30
47 347 19
47 352 12
48 235 51
48 447 51
49 383 27
49 135 17
49 88 58
49 184 59
50 118 19
50 130 39
51 265 48
51 207 36
52 160 38
52 195 47
53 454 55
53 432 65
54 259 13
54 238 21
55 69 21
55 156 37
55 96 65
56 400 58
56 457 68
57 199 24
57 290 28
57 105 19
57 345 36
58 335 41
58 152 34
58 491 50
59 383 55
59 301 28
60 339 32
60 465 50
60 108 57
61 418 60
61 63 65
62 133 12
62 355 45
62 422 44
62 356 57
63 98 21
64 457 25
64 409 21
65 236 12
65 270 29
66 299 14
66 450 44
67 388 49
67 208 44
68 225 34
68 379 33
68 317 34
69 79 38
70 453 42
70 255 56
71 478 23
71 359 59
72 296 42
72 261 63
72 308 60
72 405 54
73 316 36
73 426 41
73 385 19
74 126 36
74 135 34
74 295 27
74 261 23
75 386 47
75 136 61
75 483 43
76 435 53
76 153 54
77 344 19
77 341 40
78 98 62
78 317 11
78 339 32
79 82 52
80 239 25
80 184 69
80 430 54
81 313 24
81 185 49
82 381 61
83 173 14
84 370 38
84 100 37
85 479 10
85 101 51
86 399 46
86 165 47
87 490 55
87 229 12
87 371 29
88 216 69
88 193 50
89 268 69
90 372 66
90 293 25
91 113 50
91 309 42
92 94 27
92 143 69
